source,country,query,title,company,location,salary_min,salary_max,description,created,scraped_at,country_name,skills,salary_avg
adzuna,fr,python developer,Confirmed Python Developer (F/M),Veesion,"Paris, Ile-de-France",,,"Veesion is experiencing rapid growth following its successful Series B funding round. This expansion phase requires strengthening our technical foundation and scaling our development capabilities to meet increasing market demands. As we structure our growing team, we're seeking a Confirmed Python Developer to play a pivotal role in a dynamic environment where they can make a significant impact on both our technology stack and team culture during this exciting growth phase. Reporting to the Head…",2025-06-25 05:24:32+00:00,2025-06-30 19:53:40.919948,France,['Python'],
adzuna,fr,python developer,Python Developer,Starcom consulting limited,France,15.0,22.0,"who speaks well in French ( Any European Country) Contract Duration : 12 Months Experience : 7 yr Rate : Euro 22/hr Any specific skills set other than the JD that Hiring manager is looking for i.e. python frameworks : Python, Large Language Models (LLM). API Design,Django Python Developer Any European Country Remote A well funded AI research and development company is looking for a Python developer to join our dynamic and growing team. The ideal candidate should have a strong background in API …",2025-06-06 17:29:56+00:00,2025-06-30 19:53:40.919965,France,['Python'],18.5
adzuna,fr,python developer,Sr Python - Backend Developer,Monk AI,"Paris, Ile-de-France",,,"About the Company Monk provides visual expertise through Computer Vision and Deep Learning algorithms. Today, our AI model is able to detect and classify damage on any type of vehicle, from photos taken on a smartphone. The company is already working with international leading players, such as our parent company ACV Auctions (USA), but also CAT logistics (Europe) Getaround (France), Autobiz (Europe) or Hgreg (Canada). We are building a word-class damage detection and computer vision service. We…",2025-06-25 05:24:28+00:00,2025-06-30 19:53:40.919970,France,['Python'],
adzuna,fr,python developer,Python Developer,Corsearch,"10ème Arrondissement, Paris",,,"✅The Role As a Python Developer you’ll play a crucial role in advancing our shared mission of protecting and enhancing the world’s most valuable brands. Collaborating with Corsearch’s global team of engineers, and brand protection experts, you’ll help drive innovation in brand protection and online content monitoring , ensuring our clients stay ahead in a rapidly evolving digital landscape. ✅Responsibilities and Duties Develop and implement new features: Work on adding new functionalities to en…",2024-12-26 00:45:17+00:00,2025-06-30 19:53:40.919974,France,['Python'],
adzuna,fr,python developer,LEAD DEVELOPER PYTHON,Harnham,"Paris, Ile-de-France",,,"LEAD DEVELOPER PYTHON PARIS (75) 70-90K€ Cette société innovante en pleine croissance, développe une solution à fort impact. Leur produit phare, une application mobile utilisée directement par les clients finaux, est en pleine structuration technique. VOTRE RÔLE Revue de code, définition et amélioration des process backend Animation technique de l'équipe backend (sans responsabilités RH) Encadrement opérationnel de trois développeurs backend Contribution aux choix d'architecture technique en li…",2025-06-08 10:05:17+00:00,2025-06-30 19:53:40.919978,France,['Python'],
adzuna,fr,python developer,Senior Python Developer,Lengow,"Nantes, Loire-Atlantique",40.0,65.0,"Lengow is a leader in intelligent e-commerce solutions that help brands and retailers drive profitable growth across the digital shelf. With powerful feed management, global price monitoring, and robust data capabilities, Lengow’s comprehensive SaaS product suite enables merchants to amplify product visibility online, outrun competition with informed pricing, multiply sales on marketplaces, and monitor brand presence among distributors. Since 2009, Lengow has fueled digital growth for over 3,60…",2025-05-23 12:02:08+00:00,2025-06-30 19:53:40.919982,France,['Python'],52.5
adzuna,fr,python developer,Lead Python Developer,Payplug,"Paris, Ile-de-France",,,"Payplug est la solution de paiement française pensée pour les commerçants, e-commerçants de toutes tailles et fintechs. Avec notre plateforme technologique de pointe, nos outils dédiés à la conversion et notre maîtrise unique de la chaîne de paiement, nous vous invitons à viser le meilleur, et plus encore. Payplug, c’est une équipe de 350 passionnés dédiés à la réalisation de vos plus grandes ambitions. Nous accompagnons aujourd’hui 17 000 PME telles que Hast et Plantes pour tous, mais aussi de…",2025-02-05 17:15:22+00:00,2025-06-30 19:53:40.920192,France,['Python'],
adzuna,fr,python developer,Quantitative Developer- Python,NJF Global Holdings Ltd,"Paris, Ile-de-France",,,"Quantitative Developer – Python A leading global quantitative and systematic investment firm is looking for an experienced Python Quantitative Developer to support its cross-asset systematic trading operations. This is a dynamic, fast-paced role working closely with traders, quants, and engineers to deliver production-quality tools and technology solutions with immediate business impact. Key Responsibilities Collaborate directly with traders and researchers to develop tools that optimize and st…",2025-06-11 04:30:27+00:00,2025-06-30 19:53:40.920208,France,['Python'],
adzuna,fr,python developer,Python Developer - AI Solutions,Schneider Electric,"Grenoble, Isère",,,"Schneider Electric ’s purpose is to empower all to make the most of our energy and resources, bridging progress and sustainability for all. At Schneider, we call this Life Is On . We are driving digital transformation by integrating the most advanced energy and automation technologies. We connect products, control platforms, software and services throughout the lifecycle of our customers' activities to the cloud for integrated management of residential housing, commercial buildings, data center…",2024-07-30 23:47:58+00:00,2025-06-30 19:53:40.920213,France,['Python'],
adzuna,fr,python developer,AI Full Stack Python Developer,Devoteam Initiatives Platform,"Levallois-Perret, Nanterre",,,"Job Description En tant que AI Full Stack Python Developer , vous jouerez un rôle central au sein de nos équipes produit, en concevant et en développant des solutions d’IA générative. Vous serez impliqué·e dès la phase de preuve de concept jusqu’à la mise en production, en adoptant des méthodologies Lean Startup et MVP pour valider rapidement les cas d’usage à fort impact. Vos missions Développement Frontend Conception d’interfaces : Créer des interfaces utilisateurs performantes et intuitives,…",2025-06-20 01:30:17+00:00,2025-06-30 19:53:40.920219,France,['Python'],
