iso2,country_name,region,currency
FR,France,Western Europe,EUR
DE,Germany,Western Europe,EUR
NL,Netherlands,Western Europe,EUR
ES,Spain,Southern Europe,EUR
IT,Italy,Southern Europe,EUR
PL,Poland,Eastern Europe,PLN
GB,United Kingdom,Western Europe,GBP
US,United States,North America,USD
CA,Canada,North America,CAD
AU,Australia,Oceania,AUD
BR,Brazil,South America,BRL
IN,India,Asia,INR
ZA,South Africa,Africa,ZAR
CH,Switzerland,Western Europe,CHF
AT,Austria,Western Europe,EUR
SG,Singapore,Asia,SGD
NZ,New Zealand,Oceania,NZD
MX,Mexico,North America,MXN
BE,Belgium,Western Europe,EUR
