id,site,title,company,location,date_posted,job_type,is_remote,company_industry,skills,search_keyword,target_country,scraped_at
in-6f05438f52b36c3e,indeed,Java Software Engineer - Platform (x/f/m),Doctolib,"Levallois-Perret, A8, FR",2025-07-01,,True,,['Java'],"""software engineer"" python",France,2025-07-02 14:02:52.713190
in-8cd717485d196116,indeed,Java Software Engineer - Platform (x/f/m),Doctolib,"Paris, A8, FR",2025-07-01,,True,,['Java'],"""software engineer"" python",France,2025-07-02 14:02:52.713190
in-4897458c542b2eee,indeed,"Software Engineer (Python,DevOps,Flask et FastAPI,SQL et NoSQL,IA) -(h/f)",Skillspark AB,"Paris, A8, FR",2025-06-26,,False,,['Python'],"""software engineer"" python",France,2025-07-02 14:02:52.713190
in-ed5aca643a1df6a2,indeed,"AI Software Engineer, Python",G2i Inc.,"Paris, A8, FR",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",France,2025-07-02 14:02:52.713190
in-e887fa9dc17145a1,indeed,Senior Fullstack Software Engineer (Python and React) - Freelance - Senior (+10 ans),Bloom Partner,"Paris, A8, FR",2025-06-27,fulltime,True,,"['Python', 'React']","""software engineer"" python",France,2025-07-02 14:02:52.713190
in-890fdb6050801aea,indeed,"Senior Data Scientist, JST Science",Amazon.com,"Clichy, A8, FR",2025-07-01,,False,Internet And Software,['JavaScript'],"""data scientist"" machine learning",France,2025-07-02 14:02:56.100142
in-b1eeb8b4fb6f1362,indeed,"Software Engineer (Python,DevOps,Flask et FastAPI,SQL et NoSQL,IA) -(h/f)",Emagine Consulting,"Paris, A8, FR",2025-06-26,,False,,['Python'],"""software engineer"" python",France,2025-07-02 14:02:52.713190
in-0d8a24fb0b91d2fd,indeed,Senior Backend Software Engineer (Java/Kotlin),Diabolocom,"Paris, A8, FR",2025-07-01,fulltime,True,,['Java'],"""backend developer"" API",France,2025-07-02 14:03:06.857079
in-b249d9a50f379382,indeed,(Senior) Software Engineer C++/Python (m/w/d),Brighter AI Technologies GmbH,"Berlin, BE, DE",2025-06-30,fulltime,False,,['Python'],"""software engineer"" python",Germany,2025-07-02 14:03:20.783795
in-c06b34b4f098ab86,indeed,"AI Software Engineer, Python",G2i Inc.,"Milano, LOM, IT",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Italy,2025-07-02 14:03:48.781980
in-8b9704699a2c0d9f,indeed,Angular developer,RelyBytes,"Milano, LOM, IT",2025-06-27,"parttime, fulltime",True,,['Angular'],"""backend developer"" API",Italy,2025-07-02 14:04:02.728570
in-2db8b18e6ac3d84c,indeed,"Senior Engineer, Reactjs - (Logistics, AI Autopilot)",Delivery Hero,"Berlin, BE, DE",2025-07-01,fulltime,False,Internet And Software,"['JavaScript', 'React']","""frontend developer"" react",Germany,2025-07-02 14:03:38.014683
in-1c670bafdd602ced,indeed,"AI Software Engineer, Python",G2i Inc.,"Berlin, BE, DE",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Germany,2025-07-02 14:03:20.783795
in-2bc84ee8e6a702ea,indeed,Python Developer,Virtusa,"Madrid, MD, ES",2025-06-25,fulltime,False,,['Python'],"""software engineer"" python",Spain,2025-07-02 14:04:16.643043
in-4b155baaa00244be,indeed,"Senior Data Scientist / Python Developer, Order Allocation, Group Digital, Ingka Group",IKEA,"Amsterdam, NH, NL",2025-01-07,fulltime,False,,['Python'],"""software engineer"" python",Netherlands,2025-07-02 14:04:45.225090
in-1b51c0ece9c23d96,indeed,"AI Software Engineer, Python",G2i Inc.,"Charleroi, WAL, BE",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Belgium,2025-07-02 14:05:14.011166
in-fb6d819f55d75bfe,indeed,"Mobile Developer | Kotlin, Java",HRM,"Milano, LOM, IT",2025-06-30,,True,,['Java'],"""mobile developer"" android ios",Italy,2025-07-02 14:04:09.574134
in-ddb56039acbcd229,indeed,"AI Software Engineer, Python",G2i Inc.,"Madrid, MD, ES",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Spain,2025-07-02 14:04:16.643043
in-eda37feae2cf7a3a,indeed,Senior Java Developer – Banking Domain,Profi - Workers,"Amsterdam Oost, NH, NL",2025-07-01,fulltime,False,,['Java'],"""devops engineer"" cloud",Netherlands,2025-07-02 14:04:52.673545
