id,site,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,search_keyword,target_country,scraped_at,salary_avg
li-4259197060,linkedin,"Software Engineer II, YouTube, Machine Learning",Google,"Paris, Île-de-France, France",2025-07-02,fulltime,,,,,,False,not applicable,Information Technology and Engineering,,,"Information Services and Technology, Information and Internet",,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4259193690,linkedin,"Software Engineer II, Machine Learning, YouTube",Google,"Paris, Île-de-France, France",2025-07-02,fulltime,,,,,,False,not applicable,Information Technology and Engineering,,,"Information Services and Technology, Information and Internet",,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4245449682,linkedin,"Software Engineer, ML Data",Liftoff Mobile,"Paris, Île-de-France, France",2025-07-02,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Advertising Services,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4259171343,linkedin,Software Engineer - Accounting,Spendesk,"Paris, Île-de-France, France",2025-07-02,fulltime,,,,,,False,not applicable,Engineering and Information Technology,,,Software Development,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4259713903,linkedin,Fullstack Software Engineer,AQEMIA,"Paris, Île-de-France, France",2025-07-01,fulltime,,,,,,True,not applicable,Engineering and Information Technology,,,Biotechnology Research,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4259717700,linkedin,Senior Software Engineer,AQEMIA,"Paris, Île-de-France, France",2025-07-01,fulltime,,,,,,True,not applicable,Engineering and Information Technology,,,Biotechnology Research,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4256934720,linkedin,Software Engineer – Healthcare Cloud Platform,Damae Medical,"Paris, Île-de-France, France",2025-07-01,fulltime,,,,,,False,entry level,Consulting,,,Health and Human Services,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4260237239,linkedin,Software Engineer | Paris,Talent-R,,2025-07-01,fulltime,,,,,,True,mid-senior level,Engineering and Other,,,Staffing and Recruiting,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4259719953,linkedin,Senior ML Software Engineer,AQEMIA,"Paris, Île-de-France, France",2025-07-01,fulltime,,,,,,True,not applicable,Engineering and Information Technology,,,Biotechnology Research,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4258652715,linkedin,Software engineer - Start up early Greentech AI - Paris - CDI,Opus Recruitment Solutions,"Paris, Île-de-France, France",2025-07-01,fulltime,,,,,,False,mid-senior level,"Engineering, Information Technology, and Product Management",,,"Services for Renewable Energy, Software Development, and Primary and Secondary Education",,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4260065838,linkedin,Software Engineer Senior - CDI Paris - Theodo Fintech,Collège Financement Participatif par France FinTech,"Paris, Île-de-France, France",2025-07-01,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Civic and Social Organizations,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4256925950,linkedin,Software Engineer (H/F),Alstom,"Île-de-France, France",2025-07-01,fulltime,,,,,,False,entry level,Engineering,,,Truck Transportation and Railroad Equipment Manufacturing,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4257907875,linkedin,Data/Software Engineer H/F,Leonar,"Paris, Île-de-France, France",2025-06-30,fulltime,,,,,,False,associate,Other,,,"Technology, Information and Internet",,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4257945733,linkedin,Software Engineer – User Solutions (All Genders),Dailymotion,"Issy-les-Moulineaux, Île-de-France, France",2025-06-30,fulltime,,,,,,True,mid-senior level,Engineering,,,"Technology, Information and Internet",,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4259035728,linkedin,Software Engineer - Industrial IoT,Canonical,"Paris, Île-de-France, France",2025-06-29,fulltime,,,,,,True,mid-senior level,Engineering and Information Technology,,,Software Development,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4257075513,linkedin,SOFTWARE ENGINEER,STATION F,"Paris, Île-de-France, France",2025-06-28,contract,,,,,,True,mid-senior level,Engineering and Information Technology,,,"Technology, Information and Internet",,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4258532535,linkedin,Senior Software Engineer - Back-End,sunday,"Paris, Île-de-France, France",2025-06-27,fulltime,,,,,,True,mid-senior level,Other,,,IT Services and IT Consulting,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4193256961,linkedin,Junior Software Engineer - AI Platform,Algolia,"Paris, Île-de-France, France",2025-06-27,fulltime,,,,,,True,entry level,Engineering and Information Technology,,,Software Development,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4252374290,linkedin,Python Software Engineer - Director (AVP-Equivalent),Morgan Stanley,"Paris, Île-de-France, France",2025-06-27,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Financial Services,,,,,['Python'],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
li-4242647430,linkedin,"Software Engineer, AI Search",Algolia,"Paris, Île-de-France, France",2025-06-27,fulltime,,,,,,True,entry level,Engineering and Information Technology,,,Software Development,,,,,[],,,,,,"""software engineer"" python",France,2025-07-04 09:19:12.490141,
